ip_sum_freq,ip_sum_sz,ip_destp_mode,ip_destp_least,ip_avg_freq,ip_avg_sz,ip_std_sz,ip_avg_ttl,ip_avg_delay,ip_std_delay,ip_std_freq,wifi_sum_freq,wifi_sum_sz,wifi_subtype_mode,wifi_type_least,wifi_avg_freq,wifi_avg_sz,wifi_avg_rssi,wifi_std_rssi,wifi_avg_delay,wifi_std_delay,wifi_std_freq,zb_sum_freq,zb_sum_sz,zb_type_mode,zb_type_least,zb_avg_freq,zb_avg_sz,zb_std_sz,zb_avg_delay,zb_std_delay,zb_std_freq,audio_freq,audio_avg_rms,audio_std_rms,avg_db,std_db,activity
10,437,443,50000,3,145,64,56,379,171,1,30,193,8,8,30,193,-3,0,102,104,0,15,116,2,3,5,38,0,82,1,5,0,0,0,11,8.52,1
7,623,443,50000,2,207,129,83,145,229,1,30,193,8,8,30,193,-3,0,102,104,0,18,157,1,2,6,52,1,222,254,5,202,16.43,20.77,12,8.23,1
6,748,443,50000,2,249,152,83,13,8,0,42,495,8,8,21,247,-3,0,53,55,12,14,168,1,2,4,56,4,98,178,4,203,13.17,13.28,11,7.98,1
6,348,443,50000,2,116,101,116,28,0,0,29,193,8,8,29,193,-3,0,102,104,0,16,168,1,2,5,56,3,406,48,5,0,0,0,13,8.55,1
4,458,443,50000,1,152,83,121,6,0,0,30,193,8,8,30,193,-3,0,102,104,0,4,115,2,1,1,38,1,13,0,0,205,6.77,3.21,11,8.41,1
3,328,443,50000,1,164,125,149,9,0,0,22,193,8,8,22,193,-3,0,102,104,0,11,162,1,2,3,54,0,71,27,3,205,7.14,4.37,12,8.59,1
3,328,443,50000,1,164,125,149,10,0,0,32,495,8,8,16,247,-3,0,52,52,14,11,115,2,1,3,38,1,151,150,3,0,0,0,15,12.76,1
10,185,8883,50000,3,61,17,179,9,0,0,32,371,8,8,10,123,-4,0,34,34,13,14,153,2,2,4,51,1,104,51,4,206,6.48,7.81,12,8.76,1
2,135,443,443,1,67,0,149,0,0,0,41,653,8,8,13,217,-3,0,42,43,13,14,115,2,1,4,38,1,104,25,4,206,5.71,3.48,15,10.84,1
8,397,443,443,2,132,98,60,268,367,0,37,797,5,8,12,265,-3,0,35,36,9,11,158,2,2,3,52,0,121,112,3,204,8.13,4.83,12,9.4,1
16,205,50000,443,5,68,19,84,133,107,5,29,193,8,8,29,193,-3,0,102,104,0,16,78,2,2,5,26,0,75,21,6,0,0,0,12,8.89,1
7,410,443,50000,2,136,99,117,262,298,1,30,193,8,8,30,193,-3,0,102,104,0,16,153,1,2,5,51,0,75,20,6,201,23.07,25.83,12,8.7,1
13,427,50000,443,4,142,92,121,613,292,2,33,495,8,8,16,247,-3,0,52,52,14,11,153,2,2,3,51,1,100,31,3,202,19.24,28.48,10,8.39,1
4,186,443,443,1,62,20,80,99,0,0,29,193,8,8,29,193,-3,0,102,104,0,16,117,2,1,5,39,0,75,38,6,0,0,0,13,10.12,1
7,411,443,50000,2,137,100,117,262,298,1,21,193,8,8,21,193,-3,0,102,105,0,14,115,2,1,4,38,0,220,228,3,202,16.07,19.52,14,9.89,1
11,378,443,50000,3,126,100,60,265,218,1,35,495,8,8,17,247,-3,0,52,54,13,17,150,1,2,5,50,3,418,22,5,204,12.67,19.16,13,9.21,1
7,410,443,50000,2,136,99,117,251,280,1,32,495,8,8,16,247,-3,0,52,52,14,11,78,2,2,3,26,0,121,112,3,0,0,0,12,8.81,1
27,1394,443,50000,9,464,506,178,182,243,2,31,193,8,8,31,193,-3,0,102,104,0,19,153,2,2,6,51,1,129,18,4,202,11.3,12.23,12,8.94,1
11,405,50000,443,3,135,85,121,714,495,1,30,193,8,8,30,193,-3,0,102,104,0,8,116,2,3,2,38,0,253,411,1,208,2.41,1.17,12,8.79,1
8,347,443,50000,2,115,74,60,288,465,0,44,495,8,8,22,247,-3,0,53,54,8,13,157,1,2,4,52,0,265,348,2,0,0,0,13,8.71,1
15,628,443,50000,5,209,221,84,12,5,2,38,495,8,8,19,247,-3,0,52,53,14,16,120,2,1,5,40,0,75,21,6,206,3.25,4.38,14,10.06,1
11,457,443,50000,3,152,110,117,162,213,1,41,495,8,8,20,247,-3,0,58,65,8,16,120,2,1,5,40,0,75,20,6,206,4.36,5.1,11,8.82,1
7,232,50000,50000,2,77,53,60,328,36,0,31,495,8,8,15,247,-3,0,52,53,11,4,168,3,3,1,56,2,80,0,0,0,0,0,12,9,1
17,1007,443,50000,5,335,282,62,24,4,2,31,193,8,8,31,193,-3,0,102,104,0,5,217,1,1,1,72,3,657,0,0,208,2.5,0.59,11,8.29,1
115,2573,443,50000,38,857,398,55,17,40,16,24,193,8,8,24,193,-3,0,102,104,0,15,116,2,3,5,38,0,68,31,5,206,2.71,0.92,12,8.91,1
15,1216,443,50000,5,405,312,60,37,4,2,25,193,8,8,25,193,-3,0,106,110,0,3,236,1,3,1,78,0,0,0,0,0,0,0,13,8.53,1
28,515,443,50000,9,171,232,121,22,26,3,36,495,8,8,18,247,-3,0,55,60,12,10,120,2,1,3,40,0,127,119,3,207,2.69,1.09,12,8.99,1
21,949,443,50000,7,316,294,117,74,120,5,31,193,8,8,31,193,-3,0,102,104,0,26,26,2,2,13,13,0,245,2,0,207,2.6,0.6,12,8.98,1
10,159,443,50000,3,53,16,179,37,53,0,35,495,8,8,17,247,-3,0,52,54,12,23,151,1,2,7,50,1,96,14,2,203,12.73,19.26,12,8.51,1
5,275,50000,50000,1,91,7,182,150,0,0,39,495,8,8,19,247,-3,0,54,58,11,11,158,2,2,3,52,0,121,111,3,0,0,0,11,7.92,1
22,1211,443,50000,7,403,296,78,39,74,4,31,193,8,8,31,193,-2,0,102,104,0,14,120,2,1,4,40,0,74,23,5,202,15.54,29.43,16,10.23,1
4,800,443,50000,1,266,7,139,30,0,0,37,797,5,8,12,265,-3,0,35,35,13,33,94,2,2,11,31,0,133,64,7,206,6.93,7.43,12,9,1
8,506,443,50000,2,168,166,180,17,18,0,36,495,8,8,18,247,-3,0,55,58,9,13,173,1,2,4,57,0,81,0,4,0,0,0,10,7.19,1
17,244,50000,80,5,81,65,64,14,16,0,28,495,8,8,14,247,-3,0,61,52,12,4,224,1,1,1,74,3,2,0,0,207,4.28,1.38,11,8.52,1
6,114,443,50000,3,57,8,54,46,65,0,28,193,8,8,28,193,-2,0,109,115,0,15,130,2,1,5,43,0,82,1,5,204,10.39,13.89,13,8.57,1
7,117,443,50000,3,58,18,59,19,26,0,30,193,8,8,30,193,-3,0,102,104,0,13,128,3,0,4,42,0,81,0,4,0,0,0,12,8.98,1
11,324,443,50000,3,108,70,180,195,337,0,38,495,8,8,19,247,-3,0,54,58,12,14,78,2,2,4,26,0,51,39,5,205,8.24,10.36,11,7.85,1
6,231,50000,8883,2,77,47,60,179,0,0,25,193,8,8,25,193,-2,0,102,104,0,13,165,2,2,4,55,0,127,92,4,207,3.52,1.04,13,8.24,1
5,377,443,50000,2,188,196,149,5,6,0,31,193,8,8,31,193,-3,0,102,104,0,10,150,3,3,3,50,0,232,286,1,0,0,0,12,8.16,1
10,620,50000,50000,3,206,170,117,162,32,1,37,495,8,8,18,247,-3,0,57,65,11,13,116,2,3,4,38,0,89,25,4,206,4.02,1.81,13,9.11,1
0,0,0,0,0,0,0,0,0,0,0,29,193,8,8,29,193,-3,0,109,118,0,13,120,2,1,4,40,0,97,88,4,206,5.14,5.56,10,8.67,1
5,132,443,50000,2,66,24,91,4,5,0,30,193,8,8,30,193,-3,0,102,104,0,26,52,2,0,8,17,0,170,57,5,0,0,0,12,8.92,1
0,0,0,0,0,0,0,0,0,0,0,38,495,8,8,19,247,-3,0,55,58,13,9,159,3,3,3,53,0,51,25,2,207,2.58,0.66,14,8.93,1
4,120,443,50000,2,60,28,143,33,0,0,20,193,8,8,20,193,-3,0,102,105,0,10,26,2,2,5,13,0,245,0,0,206,3.49,4.98,11,8.45,1
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,4,169,1,2,1,56,0,326,0,0,0,0,0,12,8.6,1
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,13,154,3,2,4,51,0,98,51,4,207,3.91,2.44,13,8.45,1
4,138,443,50000,2,69,24,149,12,0,0,38,495,8,8,19,247,-3,0,54,57,11,16,138,2,1,5,46,8,77,21,5,205,5.95,4.74,14,10.58,1
4,232,50000,8883,1,77,7,60,11,0,0,32,193,8,8,32,193,-3,0,102,104,0,12,101,1,1,4,33,0,81,40,4,0,0,0,13,8.76,1
0,0,0,0,0,0,0,0,0,0,0,28,495,8,8,14,247,-3,0,56,52,12,14,78,2,2,4,26,0,89,24,5,0,0,0,13,8.67,1
6,227,5223,50000,2,75,13,121,11,3,0,44,797,5,8,14,265,-3,0,37,39,8,14,116,2,3,4,38,0,89,24,5,207,3.68,2,11,8.4,1
3,122,50000,50000,1,61,30,58,52,0,0,31,193,8,8,31,193,-3,0,102,104,0,10,120,2,1,3,40,0,126,128,3,205,5.19,4.45,11,9.16,1
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,14,116,2,3,4,38,0,89,24,5,0,0,0,13,8.72,1
2,165,50000,50000,1,82,0,58,0,0,0,40,495,8,8,20,247,-3,0,53,56,11,19,123,2,1,6,41,2,235,257,6,207,4,2.09,13,8.65,1
6,416,443,50000,2,138,6,83,8,7,1,25,495,8,8,12,247,-3,0,56,60,7,10,26,2,2,5,13,0,245,0,0,205,5.25,5.08,12,8.05,1
8,350,50000,443,2,116,112,64,141,90,0,29,193,8,8,29,193,-3,0,105,109,0,4,175,1,2,1,58,3,2,0,0,0,0,0,12,9.26,1
6,344,50000,50000,2,114,48,60,148,20,0,33,495,8,8,16,247,-3,0,61,52,14,15,154,3,2,5,51,0,82,1,5,206,5.2,3.85,11,8.33,1
0,0,0,0,0,0,0,0,0,0,0,38,495,8,8,19,247,-3,0,53,56,11,13,116,2,2,4,38,0,89,25,4,207,2.9,2.21,12,9.16,1
10,294,8883,50000,3,98,94,180,31,19,2,41,797,5,8,13,265,-3,0,36,36,12,4,208,1,3,1,69,0,30,0,0,0,0,0,11,7.99,1
28,1879,443,50000,9,626,601,180,169,221,0,30,193,8,8,30,193,-3,0,102,104,0,17,117,2,3,5,39,0,151,55,4,206,3.51,3.53,12,8.29,1
13,625,443,50000,4,208,177,173,116,161,4,38,495,8,8,19,247,-3,0,55,59,11,27,52,2,0,9,17,0,164,42,5,207,2.66,1.24,11,8.92,1
16,1187,443,50000,5,395,396,168,163,190,2,30,193,8,8,30,193,-3,0,102,104,0,15,158,2,2,5,52,0,80,81,5,0,0,0,12,8.27,1
34,2033,0,0,11,677,397,235,22,34,9,29,193,8,8,29,193,-3,0,102,104,0,21,90,2,2,7,30,0,163,0,4,206,3.73,3.38,11,8.1,1
32,1384,443,50000,10,461,297,121,14,15,12,34,495,8,8,17,247,-3,0,59,66,13,17,120,2,1,5,40,0,70,27,6,207,3.38,1.96,15,10.78,1
4,120,443,50000,2,60,28,143,32,0,0,21,193,8,8,21,193,-3,0,102,105,0,10,166,1,2,3,55,1,88,0,2,0,0,0,13,9.03,1
11,276,9002,9002,3,92,56,118,13,18,1,31,193,8,8,31,193,-3,0,102,104,0,6,126,2,1,2,42,3,169,232,0,206,6.63,3.34,10,7.78,1
9,763,443,50000,3,254,353,175,16,11,1,30,193,8,8,30,193,-3,0,102,104,0,26,90,2,2,8,30,0,171,25,5,205,7.41,4.55,12,8.25,1
0,0,0,0,0,0,0,0,0,0,0,39,495,8,8,19,247,-3,0,55,57,10,15,116,2,3,5,38,0,75,22,5,0,0,0,13,9.15,1
14,841,8883,50000,4,280,327,141,19,9,1,30,193,8,8,30,193,-3,0,102,104,0,10,143,1,0,3,47,0,81,46,3,206,4.43,1.36,13,9.19,1
72,2058,0,0,24,686,417,174,8,17,26,32,669,8,8,10,223,-3,0,40,34,12,13,78,2,2,4,26,0,81,0,4,207,4.59,3.78,13,8.6,1
6,236,50000,50000,2,78,38,80,114,22,0,34,495,8,8,17,247,-3,0,55,62,9,25,26,2,2,12,13,0,256,37,0,206,4.08,2.29,12,9.33,1
77,1770,0,0,25,590,414,99,4,8,23,29,495,8,8,14,247,-3,0,63,55,12,17,155,1,2,5,51,0,99,111,4,0,0,0,11,8.37,1
7,897,443,50000,2,299,107,104,12,0,1,31,193,8,8,31,193,-3,0,102,104,0,13,154,2,2,4,51,0,89,25,4,207,2.8,0.89,13,8.6,1
29,1305,443,443,9,435,411,138,31,46,7,30,495,8,8,15,247,-3,0,54,57,10,14,120,2,1,4,40,0,74,22,5,0,0,0,14,9.77,1
4,636,443,443,1,212,9,173,22,0,0,32,495,8,8,16,247,-3,0,52,52,14,13,206,1,1,4,68,3,19,27,2,207,5.13,3.82,13,9,1
29,1102,0,0,9,367,483,224,217,356,4,31,193,8,8,31,193,-3,0,102,104,0,8,165,3,3,2,55,2,202,185,1,207,3.7,2.18,13,9.14,1
7,177,443,50000,2,59,14,178,141,178,0,27,193,8,8,27,193,-3,0,102,104,0,22,52,2,0,7,17,0,168,31,4,206,2.86,0.67,11,8.6,1
3,120,443,443,1,40,0,64,0,0,0,39,495,8,8,19,247,-3,0,54,57,12,21,132,0,0,7,44,0,50,48,8,0,0,0,16,10.46,1
4,171,8883,50000,1,57,7,60,87,0,0,30,193,8,8,30,193,-3,0,102,104,0,14,157,1,2,4,52,0,99,110,4,206,5.19,4.45,13,8.86,1
26,847,443,50000,13,423,530,150,39,48,1,31,193,8,8,31,193,-3,0,102,104,0,9,117,2,3,3,39,0,47,28,2,206,3.63,3.03,14,9.27,1
3,183,443,50000,1,91,17,149,9,0,0,43,797,5,8,14,265,-3,0,36,38,11,25,26,2,2,12,13,0,256,36,0,0,0,0,10,8.21,1
7,360,443,50000,3,180,107,93,4,5,0,26,193,8,8,26,193,-3,0,102,104,0,19,120,2,1,6,40,0,61,34,7,207,2.82,0.74,11,8.74,1
3,119,443,443,1,59,10,151,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,13,154,3,2,4,51,0,81,0,4,207,3.04,0.99,16,11.82,1
4,347,50000,443,1,115,61,60,7,0,0,26,193,8,8,26,193,-3,0,102,104,0,13,156,2,1,4,52,0,65,33,4,0,0,0,17,12.56,1
8,282,50000,9002,2,94,41,116,5,6,1,35,495,8,8,17,247,-3,0,52,53,12,6,173,1,2,2,57,0,0,0,1,207,3.17,0.77,14,8.95,1
20,211,443,50000,6,70,49,64,54,49,6,31,193,8,8,31,193,-3,0,102,104,0,13,78,2,5,4,26,0,89,45,4,206,3.73,2.77,12,9.07,1
8,278,5223,50000,2,92,24,57,91,52,0,25,193,8,8,25,193,-3,0,102,104,0,26,26,2,2,13,13,0,246,62,1,0,0,0,12,8.41,1
13,287,443,50000,4,95,82,121,15,6,3,45,797,5,8,15,265,-3,0,39,36,12,20,114,2,1,6,38,1,142,35,7,207,3.02,2.29,12,8.44,1
6,120,0,0,2,40,0,113,289,0,0,31,193,8,8,31,193,-3,0,102,104,0,3,196,3,1,1,65,0,0,0,0,206,2.52,0.45,11,8.45,1
14,259,50000,50000,4,86,50,60,443,209,1,30,193,8,8,30,193,-3,0,102,104,0,3,135,2,1,1,45,0,0,0,0,0,0,0,12,8.65,1
4,233,443,50000,1,77,11,56,6,0,0,38,495,8,8,19,247,-3,0,57,63,11,21,192,1,2,7,64,11,133,56,5,207,2.61,0.82,11,8.55,1
3,175,50000,50000,1,87,4,58,62,0,0,31,193,8,8,31,193,-3,0,102,104,0,14,156,2,1,4,52,0,81,35,5,207,2.44,0.43,14,9.45,1
0,0,0,0,0,0,0,0,0,0,0,20,193,8,8,20,193,-3,0,102,105,0,15,166,2,2,5,55,8,106,75,4,0,0,0,11,7.78,1
3,151,443,50000,1,75,11,150,47,0,0,31,193,8,8,31,193,-3,0,102,104,0,14,116,2,3,4,38,0,89,24,5,206,3.42,3.48,11,8.43,1
5,172,50000,80,1,57,18,116,22,0,0,38,495,8,8,19,247,-3,0,54,56,12,13,133,2,1,4,44,0,90,25,4,207,4.53,2.66,11,7.94,1
0,0,0,0,0,0,0,0,0,0,0,10,193,8,8,10,193,-3,0,102,108,0,16,107,0,0,5,35,0,150,88,3,0,0,0,13,9.14,1
115,629,443,50000,57,314,190,143,38,24,5,29,193,8,8,29,193,-3,0,102,104,0,15,78,2,2,5,26,0,81,0,5,207,2.75,1.02,11,7.73,1
29,398,443,50000,9,132,106,173,33,15,11,33,193,8,8,33,193,-3,0,105,108,0,26,26,2,2,13,13,0,245,0,0,204,8.32,8.17,16,10.82,1
118,664,443,50000,59,332,201,143,40,24,1,38,495,8,8,19,247,-3,0,55,60,12,15,113,2,1,5,37,1,84,0,4,0,0,0,13,8.38,1
331,1984,0,0,110,661,285,232,13,17,112,30,193,8,8,30,193,-3,0,102,104,0,3,158,2,2,1,52,0,0,0,0,206,3.77,4.42,13,9.9,1
284,135,443,50000,94,45,1,113,143,1,131,27,193,8,8,27,193,-3,0,102,104,0,14,78,2,2,4,26,0,89,24,5,204,6.9,6.04,13,9.05,1
217,1838,443,50000,72,612,250,60,22,43,85,34,495,8,8,17,247,-3,0,52,52,15,19,151,2,2,6,50,0,163,0,3,0,0,0,17,12.59,1
566,235,80,50000,188,78,3,60,0,0,265,28,193,8,8,28,193,-3,0,102,104,0,15,120,2,1,5,40,0,81,34,5,205,5.54,3.93,13,9.08,1
1717,1556,80,50000,858,778,25,62,0,1,40,7,193,8,8,7,193,-3,0,102,112,0,19,52,2,0,6,17,0,202,115,3,205,8.32,4.97,17,16.36,1
3063,1555,80,50000,1531,777,4,62,0,1,134,13,193,8,8,13,193,-3,0,102,106,0,11,116,2,3,3,38,0,128,79,3,0,0,0,16,16.01,1
2887,1623,80,50000,962,541,10,63,0,0,684,15,193,8,8,15,193,-3,0,102,106,0,12,94,2,2,4,31,0,99,35,4,205,6.77,4.22,12,8.51,1
3038,1554,80,50000,1519,777,24,62,0,1,103,83,797,5,8,27,265,-3,0,37,39,30,18,91,3,3,6,30,0,173,29,5,205,7.65,4.85,12,10.08,1
909,1671,443,50000,303,557,28,120,6,0,426,29,193,8,8,29,193,-3,0,102,104,0,23,52,2,0,7,17,0,163,33,4,0,0,0,12,8.45,1
54,444,443,50000,18,148,99,121,20,10,23,38,495,8,8,19,247,-3,0,56,63,11,26,52,2,0,8,17,0,156,16,5,205,5.64,6.67,13,8.84,1
14,780,443,50000,7,390,329,143,468,1106,0,31,193,8,8,31,193,-3,0,102,104,0,12,120,2,2,4,40,0,108,57,4,204,10.59,10.65,12,8.55,1
96,657,443,50000,48,328,192,143,42,22,3,28,193,8,8,28,193,-3,0,106,110,0,15,116,2,3,5,38,0,81,0,5,203,9.19,3.58,11,8.28,1
128,511,443,50000,64,255,30,143,48,16,0,42,495,8,8,21,247,-3,0,55,62,13,15,78,2,4,5,26,0,89,24,4,0,0,0,14,9.85,1
63,683,443,50000,31,341,415,143,37,50,0,3,193,8,8,3,193,-3,0,102,144,0,13,98,2,2,4,32,2,163,0,3,203,14.88,15.26,14,9.27,1
67,855,443,50000,22,285,167,174,56,175,15,47,193,8,8,47,193,-3,0,102,103,0,15,156,2,1,5,52,0,81,0,5,202,12.93,13.58,13,10.49,1
65,600,443,50000,21,200,0,62,16,4,29,31,193,8,8,31,193,-3,0,102,104,0,16,94,0,0,5,31,0,79,32,6,0,0,0,13,8.71,1
98,1124,443,50000,49,562,493,143,33,62,1,39,797,5,8,13,265,-3,0,44,40,12,11,116,2,3,3,38,0,265,61,3,205,7.87,9.36,11,8.68,1
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,3,171,1,1,1,57,0,0,0,0,202,12.89,14.91,14,9.96,1
9,1014,443,50000,3,338,251,114,80,133,2,30,193,8,8,30,193,-3,0,102,104,0,28,52,2,0,9,17,0,143,48,5,0,0,0,13,8.99,1
5,394,443,50000,1,131,90,121,6,0,0,33,495,8,8,16,247,-3,0,52,52,14,26,52,2,0,8,17,0,142,68,5,204,7.6,5.78,10,7.73,1
66,365,443,50000,22,121,166,136,79,110,26,35,495,8,8,17,247,-3,0,52,54,12,14,120,2,1,4,40,0,88,23,5,204,7.35,4.65,12,9.31,1
30,538,5222,50000,10,179,212,91,21,42,6,27,193,8,8,27,193,-3,0,102,104,0,18,157,2,2,6,52,1,91,3,5,0,0,0,12,8.44,1
11,263,443,50000,3,87,57,67,122,71,1,38,495,8,8,19,247,-3,0,56,60,9,26,90,0,0,8,30,0,165,44,5,204,6.12,5.11,15,9.09,1
5,258,0,0,1,86,59,159,0,0,0,25,193,8,8,25,193,-3,0,102,104,0,10,94,2,2,3,31,0,97,32,2,205,6.08,4.5,12,9.21,1
3,394,443,50000,1,197,92,93,11,0,0,36,495,8,8,18,247,-3,0,52,54,13,28,52,2,0,9,17,0,159,48,6,0,0,0,13,9.18,1
18,242,80,80,6,80,64,64,13,16,0,44,495,8,8,22,247,-3,0,53,54,10,30,52,2,0,10,17,0,145,51,6,207,3.82,2.83,11,8.32,1
15,203,5222,50000,5,67,31,125,15,34,2,24,193,8,8,24,193,-3,0,106,111,0,18,116,2,3,6,38,0,330,0,4,206,4.9,3.12,15,10.25,1
36,707,5223,50000,12,235,347,69,115,171,5,32,495,8,8,16,247,-3,0,56,52,14,3,175,1,2,1,58,0,0,0,0,206,4.59,3.46,11,7.46,1
37,335,5222,50000,12,111,91,69,80,200,5,31,193,8,8,31,193,-3,0,102,104,0,15,116,2,3,5,38,0,81,0,5,0,0,0,12,9.39,1
