timestamp,freq,avg_rms,std_rms
1549658457,206,3.03,1.44
1549658463,203,3.7,3.17
1549658466,204,3.68,4.31
1549658469,202,4.13,5.58
1549658475,204,3.65,3.28
1549658481,205,4.2,3.81
1549658484,205,8.3,9.4
1549658487,207,3.51,2.09
1549715006,190,13.82,12.77
1549715009,205,8.02,3.9
1549715012,200,12.62,6.71
1549715018,204,9,5.26
1549715021,203,9.94,8.79
1549715027,199,18.8,11.33
1549715030,207,5.82,2.17
1549715036,202,18.89,19.35
1549715039,200,16.94,11.86
1549715042,206,6.68,1.73
1549715048,200,15.94,8.85
1549715057,204,8.87,6.09
1549715060,201,12.91,5.79
1549715066,206,6.84,2.61
1549715069,201,11.37,6.74
1549715078,200,15.86,27.58
1549715084,200,19.91,31.9
1549715087,203,17.43,28.09
1549715090,200,28.81,34.94
1549715800,193,2.48,1.53
1549715803,203,3.54,5.23
1549715806,200,7.7,10.11
1549715812,202,26.57,46.09
1549715815,204,7.56,7
1549737451,195,40.98,42.17
1549737454,196,67.74,41.61
1549737457,197,49.78,41.72
1549737463,198,53.5,53.92
1549737466,199,29.07,25.14
1549737469,195,81.29,87.67
1549737475,201,24.23,28.03
1549737478,202,19.11,20.35
1549737484,198,55.22,56.68
1549737487,196,77.99,84.97
1549737493,196,83.69,89.49
1549737496,197,57.14,48.57
1549737502,198,57.47,108.39
1549737505,197,93.51,147.41
1549737508,194,84.75,60.07
1549737514,194,113.73,110.59
1549737517,198,57.58,99.85
1549737520,195,84.53,90.33
1549737526,202,17.91,35.95
1549737529,199,38.72,38.1
1549737535,198,40.24,24.12
1549737538,195,82.92,96.73
1549737541,195,73.66,56.79
1549737547,196,71.91,53.18
1549737550,194,84.67,70.39
1549737553,198,36.71,31.51
1549737559,196,50.39,32.82
1549737562,197,50.25,65.61
1549737568,199,45.02,57.94
1549737571,196,78.08,89.91
1549737577,201,27.63,47.45
1549737580,198,65.53,70.83
1549737583,202,30.79,53.26
1549737589,201,24.77,30.91
1549737592,200,26.69,21.99
1549737598,202,25.33,29.53
1549737601,205,7.25,9.62
1549737607,198,38.16,28.84
1549737610,201,17.59,19.26
1549737613,205,7.27,5.94
1549737619,205,6.39,4.08
1549737622,200,18.96,14.89
1549737628,197,40.05,32.05
1549737631,201,14.77,11.75
1549737637,199,37.15,40.25
1549737640,201,23.98,22.68
1549737646,203,9.47,13.89
1549737649,202,24.36,32.94
1549737652,203,12.62,14.64
1549737658,200,21.99,16
1549737661,200,32.95,68.43
1549737667,203,10.2,11.14
1549737670,202,11.66,7.72
1549737676,203,9.56,6.94
1549737679,206,4.1,2.14
1549737685,206,5.85,9.93
1549737688,205,4.04,2.29
1549737691,205,8.67,15.23
1549737697,202,15.84,17.99
1549737700,201,18.54,18.44
1549737706,204,12.68,17.63
1549737709,203,20.4,26.34
1549737715,199,22.87,29.61
1549737718,200,50.06,111.23
1549737721,203,9.44,5.24
1549737727,200,2.24,1.9
1549737736,202,6.33,4.98
1549737739,202,11.13,13.1
1549737745,202,16.11,21.1
1549737748,206,3.23,3.14
1549737754,207,4.39,2.22
1549737757,204,9.3,12.74
1549737763,204,19.75,50.1
1549737766,202,22.53,29.55
1549737769,203,20.82,28.35
1549737775,199,57.25,75.59
1549737778,199,24.64,42.82
1549737784,202,11.47,12.04
1549737787,203,10.35,7.18
1549737793,204,2.9,2.11
1549737796,206,3.12,1.78
1549737802,201,2.05,0.99
1549737805,206,3,1.99
1549737808,201,1.91,0.74
1549737814,205,6.22,4.21
1549737820,203,8.33,5.94
1549737823,206,4.82,4.11
1549737826,205,2.98,1.7
1549737832,206,4.18,3.01
1549737835,207,4.83,3.5
1549737841,205,3.78,3.61
1549737844,207,3.84,2.5
1549737850,206,3.63,2.29
1549737853,203,2.03,0.69
1549737859,200,2.01,1.06
1549737862,206,3.99,2.84
1549737868,207,3.6,1.33
1549737871,206,4.06,2.08
1549737877,206,4.35,2.51
1549737880,206,4.25,5.16
1549737883,205,8.54,10.93
1549737889,201,14.47,12.71
1549737892,197,57.76,125.45
1549737898,200,33.21,35.65
1549737901,196,83,90.25
1549737907,194,120.41,144.74
1549737910,198,47.29,57.85
1549737913,206,4.34,5.01
1549737919,207,3.09,1.34
1549737922,206,3.16,1.34
1549737928,206,2.43,0.71
1549737931,206,4.81,5.57
1549737937,205,9.09,17.66
1549737940,203,21.49,42.21
1549737946,204,13.87,25.75
1549737949,201,32.73,33.83
1549737952,196,57.02,49.18
1549737958,199,42.41,40.47
1549737961,198,63.21,87.53
1549737967,202,37.19,70.51
1549737970,204,10.38,16.11
1549737976,205,5.07,4.31
1549737979,204,21.22,35.18
1549737982,198,40.63,34.09
1549737988,204,21.02,32.51
1549737991,207,3.44,2.2
1549737997,205,4.21,2.21
1549738000,206,5.69,4.15
1549738006,205,7.25,8.21
1549738009,204,7.22,5.75
1549738015,206,5.39,3.83
1549738018,207,4.2,2.09
1549738024,205,4.79,3.67
1549738027,206,5.53,3.06
1549738030,199,19.48,16.85
1549738036,200,23.77,20.91
1549738039,202,15.71,21.98
1549738045,201,24.78,24.03
1549738048,200,33.03,43.22
1549741705,206,1.98,0.78
1549741708,206,2.19,1.04
1549741714,206,2.43,1.95
1549741720,207,1.89,0.55
1549741723,206,1.87,0.64
1549741726,207,1.88,0.61
1549741732,206,1.79,0.53
1549741735,206,2.12,2.42
1549741741,206,1.91,0.56
1549741744,206,2.17,0.8
1549741750,204,8.39,5.67
1549741753,205,3.77,10.73
1549741759,206,3.7,3.81
1549741762,206,2.89,1.45
1549741768,205,9.23,13.66
1549741771,206,2.53,1.5
1549741777,205,2.75,2.43
1549741780,206,1.85,0.62
1549741786,206,1.85,0.55
1549741789,205,2.25,0.84
1549741792,207,2.84,1.29
1549741798,204,9.77,17.49
1549741801,202,22.53,20.38
1549741807,205,4.3,3.34
1549741810,205,6.6,6.25
1549741816,207,3.45,3.35
1549741819,207,3.11,2.01
1549741825,205,5.74,5.22
1549741828,206,6.26,4.15
1549741834,205,6.69,7.54
1549741837,205,9.8,14.52
1549741843,205,7.35,7.74
1549741846,207,4.37,2.76
1549741849,204,9.31,11.84
1549741855,206,3.43,2.4
1549741861,51,2.92,0.77
1549741864,200,4.91,10.91
1549741867,205,8.52,9.26
1549741873,196,5.9,6.63
1549741876,202,9.52,10.33
1549741882,199,4.75,5.04
1549741885,172,1.72,2.21
1549741891,196,11.06,20.89
1549741894,204,4.81,4.23
1549741900,201,5.05,3.78
1549741903,185,1.8,1.56
1549741906,188,1.98,1.43
1549741912,181,2.14,4.74
1549741918,199,2.58,2.74
1549741921,181,1.59,1.07
1549741924,201,2.64,3.18
1549741930,205,5.12,5.13
1549741933,206,4.33,3.54
1549741939,202,2.25,2.02
1549741942,205,6.3,7.26
1549741948,207,2.9,2.29
1549741951,202,1.72,0.68
1549741957,206,4.34,4.02
1549742073,206,2.35,1.72
1549742079,207,2.13,0.54
1549742082,207,2.56,1.7
1549742088,207,2.26,0.93
1549742091,204,6.49,5.4
1549742094,207,2.22,0.53
1549742100,207,2.56,0.77
1549742103,207,2.49,1.34
1549742109,207,3.23,3.04
1549742112,206,2.76,0.85
1549742118,206,4.9,4.07
1549742121,207,3.2,1.86
1549742127,206,2.7,0.92
1549742130,207,2.84,1.16
1549742136,207,2.32,0.6
1549742139,204,6.24,4.77
1549742145,206,6.6,9.27
1549742148,206,3.28,4.92
1549742151,204,12.33,35.68
1549742157,207,2.59,0.73
1549742163,206,3.55,2.2
1549742166,207,2.66,1.08
1549742169,205,8.12,13.75
1549742175,205,5.46,3.98
1549742178,202,13.72,11.61
1549742184,203,11.55,15.8
1549742187,204,10.57,13.89
1549742193,204,12.46,15.08
1549742196,205,7.35,6.4
1549742202,205,6.56,4.55
1549742205,205,6.92,5.01
1549742208,207,3.74,2.78
1549742214,205,5.8,6
1549742217,203,10.64,10.22
1549742223,206,5.15,3.27
1549742226,205,6.09,3.78
1549742232,206,4.59,3.2
1549742235,206,5.56,3.52
1549742241,205,5.3,3.64
1549742244,204,7.63,5.12
1549742250,206,3.31,2.45
1549742253,207,2.19,0.78
1549742259,206,3.47,4.21
1549742262,207,2.91,2.62
1549742265,205,5.36,4.59
1549742271,205,10.32,22.92
1549742274,205,4.04,4.48
1549742280,207,3.7,2.05
1549742283,207,3.55,1.76
1549742289,202,13.7,15.82
1549742292,202,12.46,12.08
1549742298,206,5.13,4.5
1549742301,202,10.34,7.64
1549742307,206,4.64,2.46
1549742310,206,4.6,5.1
1549742313,205,6.8,6.15
1549742319,207,3.23,2.23
1549742322,205,4.59,6.27
1549742328,206,5.18,4.29
1549742331,206,4.11,1.95
1549742337,206,4.46,3.75
1549742340,204,42.09,110.82
1549742346,205,7.29,9.3
1549742349,206,4.27,2.85
1549742355,206,4.02,3.41
1549742358,206,3.85,2.32
1549742364,207,2.96,1.22
1549742367,207,3.17,1.1
1549742373,207,3.94,1.96
1549742376,206,3.78,1.72
1549742379,207,3.06,1.13
1549742385,207,3.36,1.44
